interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
99-93-03-35	bff95934a7354183a1673d302212fbc3	130	Int621	1	3	2	2	18	00.13:20:27	0
73-88-34-84	c1ab3a55e3154bfcbeb323d4f16395d3	130	Int631	1	4	1	3	11	00.05:39:17	0
95-64-89-47	c3b9045ef5ed41a3beb8237bda116258	120	Int212	1	0	0	4	2	00.03:44:46	0
61-62-04-77	c4d3eccb80cd4163ab62e5be0819fd4a	130	Int711	1	1	0	2	0	00.03:56:48	0
06-99-34-12	c5cfa4d581524eecaf2befe3e634886d	130	ms_sup520	1	1	0	0	2	00.01:08:22	0
18-47-68-10	cc68f228a74948c9b5138b6920faa8a4	125	Int212	1	0	1	2	8	00.04:32:05	0
66-59-80-42	cff0a73d5f5a4139be74f485c05508e9	130	ms_sup610	1	1	0	0	2	00.00:26:53	0
65-54-06-15	d06ab7cc57f449aca0dafd577a3741e9	130	Int631	1	1	0	1	9	00.03:18:40	0
28-62-53-68	d14440ebbed74601a1a1066f4ed81567	130	Int611	1	4	2	2	26	00.04:28:48	0
91-42-28-25	d43ac6ec9edb470eb9b0a291168379c4	130	Int812	1	1	1	2	5	00.04:14:04	0
19-33-47-02	d4b8d5a44cb64b9d942a45339e1afde0	130	ms_sup510	1	0	0	0	0	00.00:03:13	0
06-45-67-80	d542d20450a349b8991602244edd1292	130	Int821	1	3	1	2	11	00.05:54:54	0
96-06-08-11	d553eaa2f212492b91ab3d45f7d7c0cc	120	Int212	1	1	0	3	1	00.02:45:10	0
36-25-76-51	d63f85daf8ce4b75bcd7d340af820431	100	Int113	1	0	0	2	48	00.08:04:03	3
47-10-05-66	d7de9aba87f942aeba805a122f230df9	130	Int721	1	4	2	2	17	00.04:52:48	0
42-40-43-96	d888a9f0d50d413c826ec839079a4191	130	Int632	1	1	1	2	6	00.07:08:49	0
08-51-14-47	d9da9d0902574488a6de55a6e9dda484	120	Int821	1	0	0	2	1	00.04:33:08	0
11-58-59-02	dab9aff1be3a4ec3b7a78c02b8e6c83c	130	ms_sup320	1	1	0	0	1	00.00:13:28	0
31-40-20-96	db40dfdf8cce4c96b181258619f13af5	130	Int621	1	3	1	2	4	00.01:59:11	0
46-69-67-80	db4b80a11b314308a0376b76ceac3f67	100	Int512	1	0	0	2	0	00.01:33:53	1
51-11-35-55	db4bcffb55464af68703b0b03986c020	130	Int411	1	2	1	2	15	00.07:26:13	0
94-78-45-38	de76537f824c45ba8996e8846c86290a	130	Int422	1	1	1	2	3	00.02:19:08	0
92-81-21-58	df58e67443874e3c8a968ae7beb726b4	130	Int712	1	1	0	2	1	00.02:33:01	0
68-05-34-27	e04df07851134c199df130e9fb355bb9	130	ms_sup210	1	0	0	0	0	00.00:05:10	0
97-15-20-38	e2c8447a7a9d4af29a97060236cdec9c	120	Int812	1	0	0	2	1	00.04:48:15	1
25-98-44-02	e38fa993a6114e4698ff84a375249d28	100	Int622	1	0	0	2	1	00.02:04:06	0
32-64-47-46	e3e48520e2ba44b396d4e7572a7f591e	120	Int111	1	1	0	2	16	00.03:48:53	0
27-34-49-38	e4cfc4a2bf564ad8ac9200439f9543bd	130	Int422	1	5	2	2	31	00.11:25:00	0
41-20-86-76	e622b868e1ca46298e551fc610f233e1	130	Int632	1	3	1	2	7	00.08:16:39	0
24-79-06-78	e6fc0b8ca2ae4df5b62d5c583379f860	130	Int612	1	2	1	2	6	00.05:03:44	0
92-82-62-50	e71bcc1ff320490295a424e64a79f1be	130	Int321	1	3	2	3	11	00.05:49:39	1
63-37-16-15	e7e0fb87518b42b0ba272f5985bf0f81	100	Int112	1	2	1	2	11	00.05:59:09	1
85-59-48-28	eafb1e2dbda8466a86c67f25ac2e11db	130	Int712	1	3	2	2	5	00.04:53:13	0
75-41-50-97	ec4949786dcd4e44bc675d4340353cea	130	Int712	1	2	1	2	2	00.08:36:31	0
85-86-51-55	ed3a4f9256d8452eb408aa9c055a0177	130	ms_sup630	1	0	0	0	0	00.00:16:08	0
73-65-86-60	ee69200b303e4296b1faf9ed7ac3440f	130	Int622	1	2	1	2	16	00.06:51:19	0
13-27-78-05	eed0801e220247f3a70a28c5f7f84277	130	Int511	1	1	0	2	3	00.03:08:48	0
