interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
64-05-82-36	e0e37931ae354e8fac54a08b61ad0ced	130	Int321	1	3	1	2	10	00.03:43:58	1
18-29-47-23	e114f53fcdb8485ca1142446bd7ef4bd	130	Int412	1	2	2	2	3	00.05:24:17	0
02-43-60-73	e1c39fdd155c4e6a9d0b4ff441b70bec	130	Int312	1	1	1	2	8	00.06:24:13	0
21-35-10-15	e4112e19da2d470fbfa7b97cd70b836d	130	Int621	1	1	0	2	1	00.02:12:23	0
33-34-90-80	e655dd20ecd544a0a54b9537559e811b	130	Int421	1	5	1	2	31	00.13:01:48	0
50-46-77-66	e9eb9722bb4c4fbcae8462a0eb08e93b	130	ms_sup720	1	0	0	0	0	00.00:45:19	0
71-30-46-70	e9f75b1c73844cdea9d3958cea1ae918	120	Int421	1	0	0	2	35	00.04:01:54	0
18-77-65-88	ebd8ba836c844926a8674227688135f5	130	Int711	1	0	0	3	2	00.01:50:30	0
55-00-30-07	ec1b74be9c314fa68885be8fcdc47e56	120	Int632	1	1	0	1	1	00.00:11:17	0
40-86-40-92	ef5d56ffdd5c4736828de033736f223e	130	Int411	1	2	1	3	11	00.06:00:01	0
36-49-72-24	f052e62397ab4128bf54863364a43395	130	Int322	1	3	1	2	7	00.05:20:27	0
95-71-51-73	f15c23e60a264a8d8304f02ecf4dc048	130	Int712	1	1	1	3	2	00.06:05:07	0
88-26-33-43	f1d9d45304b5401597f23c46802066c0	120	Int822	1	2	0	2	1	00.04:49:52	0
28-96-71-46	f1ff8cb02e7c47acbe61982ba4ae5962	130	Int632	1	1	0	2	1	00.02:15:02	0
09-12-08-64	f256f2f9e23e4891b1da845b65e81fbd	130	Int112	1	3	1	2	31	00.15:22:47	1
96-10-64-63	f31e2760376c41259cf778050c551ec0	120	Int113	1	3	0	2	35	00.10:47:55	0
98-30-24-89	f6834a4abec14edbb81ed98cf3a8b252	130	Int521	1	1	0	2	10	00.04:43:50	0
14-38-02-95	f7a417663c19449ab9de887ddbbf9a01	130	Int322	1	1	1	2	6	00.05:58:21	0
11-57-12-66	f8336efe230f453faed7405564c18bcc	130	Int411	1	2	1	2	4	00.04:36:52	0
17-58-03-26	f9c761c0e3104bcda365b81da574a718	130	Int222	1	3	2	2	8	00.03:12:50	0
21-06-64-08	fb4ce53190484736bd4f5af13b58de06	130	Int632	1	5	1	2	6	00.03:35:11	0
50-12-80-46	fb8fe61869304f0489b6b5ba88e7034e	100	Int212	1	3	1	2	13	00.04:17:49	1
25-07-35-09	06cb5b32cf1e44daa812e778e455d720	125	Int222	1	1	1	2	10	00.03:30:23	1
77-09-49-94	099ffbd7449c4b85a92301a90d34378e	125	Int822	1	1	1	2	7	00.02:46:55	0
18-34-78-53	12b66867f9734a0ba913e1f1aea38138	100	Int612	1	0	0	3	4	00.02:09:17	2
59-97-80-51	228f9a21a7be4c8abc59cc95ff25e88a	100	Int632	1	0	0	2	1	00.02:43:54	1
54-96-61-49	2fbeb651735849a7ac9438b7d41f0a40	120	Int822	1	0	0	2	1	00.02:36:51	0
20-58-65-51	37e31b20d3fe4f34b6868dfe43027fcc	100	Int631	1	0	0	2	4	00.02:20:02	0
63-03-78-87	3d3afbd92e964aed9d46cc348570a54f	100	Int631	1	0	0	2	7	00.01:39:44	0
77-84-35-61	4abb95756f654302b9b2f7568cb906c6	125	Int422	1	2	2	2	4	00.03:40:53	0
02-36-36-07	4fc97991554d447aa331fbb0a05c9125	100	Int112	1	0	0	2	2	00.05:16:17	1
80-43-12-85	5786877d660643c8b6c2c2e99d9247ec	130	Int822	1	1	1	2	6	00.02:16:08	0
67-96-43-30	5bcc28bf8f574b5cbea1abc685001b2c	100	ms_sup510	1	0	0	0	0	00.00:22:09	0
23-00-02-66	5d59fe46d94e467cbe5d52563450a0db	100	Int612	1	0	0	2	6	00.02:28:23	1
55-15-40-24	9c82c6f77afd437ab038a53f2ca2c601	130	ms_sup320	1	1	0	0	11	00.01:23:42	0
01-80-08-34	d979e486e8d945c399a3e61efd6d3be5	120	Int422	1	0	0	2	0	00.01:40:14	0
31-61-84-84	e54c23d1a0b3417eb222de5db9f85503	130	Int411	1	1	1	2	3	00.03:37:26	0
30-19-91-85	e9be93f1d8d640ecbe23181074098718	130	Int411	1	3	1	2	13	00.05:26:43	0
42-70-12-87	eb95dd669b0545e8a6769231779e01b6	100	Int632	1	2	2	2	3	00.02:00:32	0
46-15-30-37	ed2601c32d18403392ee7c4d7db353c5	100	Int511	1	0	0	2	1	00.07:28:28	2
24-05-23-81	efa6570a55184252ab1852220bab61f5	100	Int511	1	0	0	2	1	00.04:40:51	1
69-76-83-14	efebf485e7ed4e72b15de8ea3cb92e37	130	Int111	1	2	1	2	20	00.04:14:52	0
12-69-44-98	f56bc5e6f5ec4d7baacf53b53bd63847	130	Int412	1	2	0	2	5	00.03:02:27	0
